step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.26010834630792,0,0.0,0.9813416252808023,0,0.0
10.0,0,0.0,0.0,12.46195651422943,0,0.0,0.9289017954313675,0,0.0
15.0,1,2.0,0.2222222222222222,9.880877805517466,1,2.0,0.7304735581611757,1,2.0
20.0,1,2.0,0.16666666666666666,7.290655596730193,1,3.0,0.5389714760378785,1,3.0
25.0,2,10.0,0.5555555555555556,10.073812714319693,2,10.0,0.7138990976324332,2,10.0
30.0,3,23.0,1.0952380952380953,10.610519882459835,3,23.0,0.6750490370297437,3,23.0
35.0,4,39.0,1.6956521739130435,10.060739186963128,4,39.0,0.6542469650089987,4,39.0
40.0,2,4.0,0.18181818181818182,7.949926254418312,2,21.0,0.5659105358833274,2,21.0
45.0,7,27.0,1.0384615384615385,7.839055821177473,7,27.0,0.49253557145538146,7,27.0
50.0,10,68.0,2.4285714285714284,6.465520687127184,10,68.0,0.37985321565788455,10,68.0
55.0,11,72.0,2.5714285714285716,4.639582784805027,11,97.0,0.29141547554304875,11,97.0
60.0,7,27.0,0.9642857142857143,4.50187413368816,7,93.0,0.19663389771908582,7,93.0
65.0,5,30.0,1.0,7.530427612953209,5,75.0,0.3427703086622659,5,75.0
70.0,1,10.0,0.3125,7.744436648448777,1,66.0,0.441554178285162,1,66.0
75.0,8,25.0,0.8333333333333334,6.97525478292717,8,62.0,0.3503464419422667,8,62.0
80.0,12,75.0,2.5,6.63959886370723,12,112.0,0.3298100266094597,12,112.0
85.0,14,143.0,4.612903225806452,5.460004474376796,14,180.0,0.2604722469549495,14,180.0
90.0,18,228.0,8.142857142857142,3.7728704147265715,18,265.0,0.20999011118868982,18,265.0
95.0,20,325.0,11.206896551724139,3.6262322404106295,20,362.0,0.20090299607617912,20,362.0
100.0,22,429.0,13.40625,3.414244368926252,22,466.0,0.19227761474963007,22,466.0
105.0,23,544.0,16.0,3.249010375117941,23,581.0,0.13430262293791015,23,581.0
